EEG_Fp1,EEG_Fp2
-0.00015,-0.000143
-8.7e-05,-9.2e-05
-2e-06,-9e-06
-3.8e-05,-4e-05
-0.000121,-0.000133
-0.000127,-0.000129
-4.8e-05,-4.4e-05
-4.2e-05,-6.1e-05
-0.000122,-0.000144
-0.000135,-0.000123
-3.5e-05,-2.7e-05
-1e-05,9e-06
-8e-05,-9e-05
-0.000155,-0.000167
-8e-05,-6.1e-05
-2.9e-05,1.2e-05
-7.1e-05,-6.4e-05
-0.000136,-0.000159
-0.0001,-0.000126
-3e-05,-8e-06
-6.8e-05,-4.8e-05
-0.000143,-0.000148
-0.000127,-0.000123
-5.3e-05,-3e-05
-6e-05,-3.5e-05
-0.000145,-0.000143
-0.000169,-0.000163
-8e-05,-6.2e-05
-3.8e-05,-1.3e-05
-0.000118,-0.000117
-0.000175,-0.000195
-9.7e-05,-9e-05
-9e-06,-1.7e-05
-6.5e-05,-5.1e-05
-0.000165,-0.000128
-0.000115,-8.9e-05
-3.5e-05,-1e-05
-5.7e-05,-6.1e-05
-0.000134,-0.000138
-0.000125,-0.000138
-3.8e-05,-3.1e-05
-4.5e-05,-1.6e-05
-0.000142,-0.000134
-0.000169,-0.000166
-5.1e-05,-3.7e-05
-1.7e-05,-2.6e-05
-0.000112,-8.5e-05
-0.00015,-0.000135
-7.9e-05,-6e-05
-3.1e-05,6e-06
-8.5e-05,-7.4e-05
-0.000149,-0.000148
-0.000104,-9.2e-05
-2.3e-05,-1e-05
-4.4e-05,-4.1e-05
-0.000126,-0.000122
-0.000126,-0.000119
-5.3e-05,-3.8e-05
-5.6e-05,-3.1e-05
-0.000106,-9.3e-05
-0.000115,-0.000112
-3.8e-05,-1.7e-05
-4e-06,1.9e-05
-0.000104,-9e-05
-0.000146,-0.00015
-6.3e-05,-5.5e-05
0.0,2.7e-05
-5.5e-05,-3.2e-05
-0.000127,-0.000115
-7.5e-05,-4.9e-05
-1.6e-05,1.6e-05
-3e-05,-1.1e-05
-9.8e-05,-9.2e-05
-0.000115,-0.000114
-4.9e-05,-8e-06
-1e-05,2.7e-05
-9.7e-05,-7.2e-05
-0.000116,-0.000106
-3.1e-05,-1.7e-05
-2e-05,1.1e-05
-7.7e-05,-8e-05
-0.000124,-0.000133
-6.5e-05,-6.2e-05
-6e-06,2.2e-05
-8.1e-05,-3.8e-05
-0.000127,-0.000106
-7.6e-05,-4.8e-05
-3.2e-05,9e-06
-3.2e-05,-1.9e-05
-0.000131,-0.00011
-0.000117,-0.000127
-2e-05,-1.9e-05
-5e-06,1.3e-05
-0.000101,-7.1e-05
-0.000127,-9.4e-05
-5.6e-05,-1.8e-05
-1.8e-05,1e-05
-8.5e-05,-7.5e-05
-0.000167,-0.00014
-0.000102,-7.5e-05
3e-06,1e-05
