ISI,RT,Response,Stimulus,Top_Number,Bottom_Number,Top_Index,Bottom_Index
1000,1000,CR,1,T1,B1,0,0
1000,1000,CR,2,T1,B2,0,1
1000,1000,CR,3,T1,B3,0,2
1000,1000,CR,4,T1,B4,0,3
1000,1000,CR,5,T1,B5,0,4
1000,1000,CR,6,T2,B1,1,0
1000,1000,CR,7,T2,B2,1,1
1000,1000,CR,8,T2,B3,1,2
1000,1000,CR,9,T2,B4,1,3
1000,1000,CR,10,T2,B5,1,4
1000,1000,CR,11,T3,B1,2,0
1000,1000,CR,12,T3,B2,2,1
1000,1000,CR,13,T3,B3,2,2
1000,1000,CR,14,T3,B4,2,3
1000,1000,CR,15,T3,B5,2,4
1000,1000,CR,16,T4,B1,3,0
1000,1000,CR,17,T4,B2,3,1
1000,1000,CR,18,T4,B3,3,2
1000,1000,CR,19,T4,B4,3,3
1000,1000,CR,20,T4,B5,3,4
1000,1000,CR,21,T5,B1,4,0
1000,1000,CR,22,T5,B2,4,1
1000,1000,CR,23,T5,B3,4,2
1000,1000,CR,24,T5,B4,4,3
1000,1000,CR,25,T5,B5,4,4
